UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
239105,"R",2925,"R",1349,"R",1576,"R",6,"R",1,"R",5,"R",97,"R",43,"R",54,"R",106,"R",40,"R",66,"R",153,"R",64,"R",89,"R",5,"R",1,"R",4,"R",2331,"R",1093,"R",1238,"R",32,"R",14,"R",18,"R",55,"R",30,"R",25,"R",140,"R",63,"R",77
239132,"R",37,"R",5,"R",32,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13,"R",5,"R",8,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",22,"R",0,"R",22,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
239169,"R",290,"R",145,"R",145,"R",1,"R",1,"R",0,"R",30,"R",10,"R",20,"R",10,"R",4,"R",6,"R",8,"R",3,"R",5,"R",1,"R",1,"R",0,"R",204,"R",111,"R",93,"R",9,"R",4,"R",5,"R",16,"R",7,"R",9,"R",11,"R",4,"R",7
239220,"R",918,"R",290,"R",628,"R",3,"R",0,"R",3,"R",23,"R",3,"R",20,"R",5,"R",1,"R",4,"R",6,"R",1,"R",5,"R",1,"R",1,"R",0,"R",849,"R",272,"R",577,"R",15,"R",6,"R",9,"R",16,"R",6,"R",10,"R",0,"R",0,"R",0
239248,"R",2391,"R",788,"R",1603,"R",30,"R",7,"R",23,"R",101,"R",39,"R",62,"R",462,"R",144,"R",318,"R",253,"R",70,"R",183,"R",4,"R",2,"R",2,"R",1422,"R",494,"R",928,"R",30,"R",10,"R",20,"R",89,"R",22,"R",67,"R",0,"R",0,"R",0
239309,"R",139,"R",60,"R",79,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",4,"R",3,"R",1,"R",9,"R",3,"R",6,"R",0,"R",0,"R",0,"R",119,"R",49,"R",70,"R",2,"R",2,"R",0,"R",2,"R",1,"R",1,"R",1,"R",1,"R",0
239318,"R",566,"R",447,"R",119,"R",1,"Z",0,"R",1,"R",19,"R",15,"R",4,"R",10,"R",7,"R",3,"R",23,"R",15,"R",8,"R",1,"R",1,"Z",0,"R",449,"R",361,"R",88,"R",10,"R",7,"R",3,"R",18,"R",14,"R",4,"R",35,"R",27,"R",8
239372,"R",1239,"R",613,"R",626,"R",12,"R",9,"R",3,"R",17,"R",10,"R",7,"R",106,"R",94,"R",12,"R",30,"R",20,"R",10,"Z",0,"Z",0,"Z",0,"R",1053,"R",467,"R",586,"R",6,"R",5,"R",1,"R",15,"R",8,"R",7,"Z",0,"Z",0,"Z",0
239390,"R",396,"R",6,"R",390,"R",3,"Z",0,"R",3,"R",16,"Z",0,"R",16,"R",63,"Z",0,"R",63,"R",28,"Z",0,"R",28,"R",0,"Z",0,"R",0,"R",275,"R",6,"R",269,"R",5,"Z",0,"R",5,"R",4,"Z",0,"R",4,"R",2,"Z",0,"R",2
239424,"R",43,"R",34,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",4,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",31,"R",24,"R",7,"R",2,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",2,"R",0
239442,"R",662,"R",189,"R",473,"R",41,"R",10,"R",31,"R",4,"R",4,"Z",0,"R",2,"R",1,"R",1,"R",12,"R",2,"R",10,"R",1,"R",1,"Z",0,"R",601,"R",171,"R",430,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0
239460,"R",1684,"R",597,"R",1087,"R",11,"R",2,"R",9,"R",93,"R",40,"R",53,"R",6,"R",3,"R",3,"R",23,"R",6,"R",17,"R",1,"Z",0,"R",1,"R",1496,"R",517,"R",979,"R",11,"R",3,"R",8,"R",43,"R",26,"R",17,"Z",0,"Z",0,"Z",0
239488,"R",2549,"R",967,"R",1582,"R",39,"R",10,"R",29,"R",66,"R",23,"R",43,"R",26,"R",13,"R",13,"R",75,"R",29,"R",46,"R",2,"R",1,"R",1,"R",2308,"R",875,"R",1433,"R",32,"R",15,"R",17,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0
239503,"R",143,"R",67,"R",76,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",1,"Z",0,"R",0,"R",0,"Z",0,"R",140,"R",65,"R",75,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
239512,"R",109,"R",45,"R",64,"R",1,"Z",0,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"R",92,"R",35,"R",57,"Z",0,"Z",0,"Z",0,"R",9,"R",5,"R",4,"R",3,"R",2,"R",1
239628,"R",216,"R",105,"R",111,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",4,"R",1,"R",3,"R",9,"R",4,"R",5,"R",1,"R",0,"R",1,"R",191,"R",96,"R",95,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",7,"R",2,"R",5
239637,"R",18,"R",18,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16,"R",16,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0
239716,"R",459,"R",181,"R",278,"R",3,"R",2,"R",1,"R",4,"R",2,"R",2,"R",4,"R",4,"R",0,"R",11,"R",2,"R",9,"R",0,"R",0,"R",0,"R",406,"R",156,"R",250,"R",6,"R",1,"R",5,"R",0,"R",0,"R",0,"R",25,"R",14,"R",11
239743,"R",113,"R",23,"R",90,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",2,"R",1,"R",1,"Z",0,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",101,"R",22,"R",79,"R",3,"Z",0,"R",3,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
239877,"R",48,"R",1,"R",47,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",44,"R",1,"R",43,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
239910,"R",746,"R",200,"R",546,"R",3,"R",0,"R",3,"R",4,"Z",0,"R",4,"R",4,"R",0,"R",4,"R",6,"R",2,"R",4,"Z",0,"Z",0,"Z",0,"R",718,"R",196,"R",522,"R",11,"R",2,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
239929,"R",115,"R",19,"R",96,"R",3,"R",0,"R",3,"R",1,"R",0,"R",1,"R",93,"R",12,"R",81,"R",11,"R",3,"R",8,"R",0,"R",0,"R",0,"R",7,"R",4,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
240055,"R",1719,"R",737,"R",982,"R",11,"R",3,"R",8,"R",52,"R",25,"R",27,"R",16,"R",6,"R",10,"R",51,"R",19,"R",32,"R",2,"R",1,"R",1,"R",1556,"R",672,"R",884,"R",19,"R",6,"R",13,"R",8,"R",2,"R",6,"R",4,"R",3,"R",1
240107,"R",1003,"R",246,"R",757,"R",2,"R",0,"R",2,"R",16,"R",7,"R",9,"R",9,"R",4,"R",5,"R",13,"R",4,"R",9,"R",0,"R",0,"R",0,"R",941,"R",222,"R",719,"R",6,"R",1,"R",5,"R",5,"R",2,"R",3,"R",11,"R",6,"R",5
240116,"R",1902,"R",821,"R",1081,"R",11,"R",5,"R",6,"R",49,"R",22,"R",27,"R",27,"R",16,"R",11,"R",23,"R",11,"R",12,"R",2,"R",2,"R",0,"R",1669,"R",712,"R",957,"R",50,"R",19,"R",31,"R",71,"R",34,"R",37,"R",0,"R",0,"R",0
240125,"R",1781,"R",692,"R",1089,"R",16,"R",4,"R",12,"R",44,"R",19,"R",25,"R",55,"R",22,"R",33,"R",86,"R",30,"R",56,"R",1,"R",0,"R",1,"R",1478,"R",562,"R",916,"R",17,"R",4,"R",13,"R",82,"R",50,"R",32,"R",2,"R",1,"R",1
240170,"R",1441,"R",550,"R",891,"R",10,"R",6,"R",4,"R",45,"R",17,"R",28,"R",16,"R",8,"R",8,"R",22,"R",8,"R",14,"R",2,"Z",0,"R",2,"R",1305,"R",492,"R",813,"R",25,"R",13,"R",12,"R",16,"R",6,"R",10,"Z",0,"Z",0,"Z",0
240189,"R",2504,"R",1203,"R",1301,"R",3,"R",2,"R",1,"R",47,"R",26,"R",21,"R",96,"R",38,"R",58,"R",73,"R",32,"R",41,"R",5,"R",5,"R",0,"R",2172,"R",1035,"R",1137,"R",20,"R",6,"R",14,"R",16,"R",10,"R",6,"R",72,"R",49,"R",23
240198,"R",1589,"R",497,"R",1092,"R",30,"R",11,"R",19,"R",11,"R",4,"R",7,"R",11,"R",7,"R",4,"R",7,"R",1,"R",6,"Z",0,"Z",0,"Z",0,"R",1492,"R",464,"R",1028,"R",28,"R",7,"R",21,"R",10,"R",3,"R",7,"Z",0,"Z",0,"Z",0
240213,"R",16,"R",1,"R",15,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",13,"R",1,"R",12,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
240240,"R",71,"R",6,"R",65,"R",8,"R",2,"R",6,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",59,"R",3,"R",56,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
240268,"R",2315,"R",881,"R",1434,"R",9,"R",3,"R",6,"R",61,"R",26,"R",35,"R",16,"R",8,"R",8,"R",41,"R",14,"R",27,"R",0,"R",0,"R",0,"R",2106,"R",797,"R",1309,"R",13,"R",6,"R",7,"R",23,"R",9,"R",14,"R",46,"R",18,"R",28
240277,"R",1400,"R",451,"R",949,"R",23,"R",8,"R",15,"R",31,"R",11,"R",20,"R",11,"R",7,"R",4,"R",21,"R",5,"R",16,"R",0,"R",0,"R",0,"R",1278,"R",405,"R",873,"R",11,"R",3,"R",8,"R",6,"R",4,"R",2,"R",19,"R",8,"R",11
